,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
3039,Bachelors,2013,Bangalore,3,39,Male,No,0,0
3040,Bachelors,2014,Bangalore,3,33,Male,No,4,0
3043,Bachelors,2014,Bangalore,3,36,Male,No,5,0
3047,Bachelors,2017,Bangalore,3,36,Male,No,5,0
3049,Bachelors,2017,Bangalore,3,33,Male,No,2,0
3050,Bachelors,2018,Bangalore,3,38,Male,No,2,1
3051,Bachelors,2015,Bangalore,3,34,Male,No,5,0
3052,Bachelors,2012,Bangalore,3,34,Male,No,1,0
3055,Bachelors,2012,Bangalore,3,41,Male,No,3,0
3056,Bachelors,2018,Bangalore,3,34,Male,Yes,2,1
3058,Bachelors,2012,Bangalore,3,33,Male,No,2,0
3059,Bachelors,2015,Bangalore,3,39,Male,No,3,0
3062,Bachelors,2016,Bangalore,3,34,Male,Yes,4,0
3066,Bachelors,2013,Bangalore,3,32,Male,No,5,0
3068,Bachelors,2014,Bangalore,3,39,Male,No,2,0
3069,Bachelors,2016,Bangalore,3,33,Male,No,1,1
3071,Bachelors,2016,Bangalore,3,39,Male,No,0,1
3072,Bachelors,2017,Bangalore,3,35,Male,Yes,2,0
3073,Bachelors,2017,Bangalore,3,32,Male,No,1,0
3078,Masters,2018,Bangalore,3,39,Male,No,3,1
3080,Bachelors,2018,Bangalore,3,36,Male,No,1,1
3086,Bachelors,2016,Bangalore,3,32,Male,No,1,0
3087,Bachelors,2017,Bangalore,3,37,Male,No,2,1
3096,Bachelors,2012,Bangalore,1,36,Male,No,3,0
3104,Bachelors,2014,Bangalore,3,32,Male,No,4,0
3106,Bachelors,2015,Bangalore,3,38,Male,No,4,0
3107,Bachelors,2015,Bangalore,3,32,Male,No,2,0
3114,Bachelors,2016,Bangalore,3,41,Male,No,1,0
3124,Bachelors,2012,Bangalore,3,31,Male,No,4,0
3126,Bachelors,2014,Bangalore,3,35,Male,No,3,0
3128,Bachelors,2014,Bangalore,3,39,Male,Yes,1,0
3132,Bachelors,2012,Bangalore,3,41,Male,No,3,0
3137,Bachelors,2014,Bangalore,3,34,Male,Yes,3,0
3139,Masters,2017,Bangalore,2,41,Male,No,4,0
3142,Bachelors,2012,Bangalore,3,37,Male,No,4,0
3143,Bachelors,2015,Bangalore,3,38,Male,No,3,1
3144,Bachelors,2014,Bangalore,3,37,Male,No,4,0
3145,Bachelors,2017,Bangalore,3,34,Male,No,5,0
3146,Bachelors,2014,Bangalore,1,39,Male,No,5,0
3150,Bachelors,2012,Bangalore,3,34,Male,No,4,0
3156,Bachelors,2017,Bangalore,3,40,Male,Yes,1,0
3159,Bachelors,2014,Bangalore,3,36,Male,No,4,0
3162,Bachelors,2015,Bangalore,3,38,Male,Yes,4,0
3165,Bachelors,2014,Bangalore,1,37,Male,No,5,0
3167,Bachelors,2013,Bangalore,3,35,Male,No,2,1
3172,Bachelors,2015,Bangalore,3,32,Male,No,4,0
3173,Bachelors,2013,Bangalore,3,41,Male,No,2,0
3176,Bachelors,2017,Bangalore,3,34,Male,No,3,1
3181,Bachelors,2016,Bangalore,3,31,Male,No,1,1
3186,Bachelors,2014,Bangalore,3,38,Male,No,2,0
3191,PHD,2014,Bangalore,3,31,Male,No,1,0
3196,Bachelors,2017,Bangalore,3,35,Male,No,5,0
3198,Bachelors,2012,Bangalore,1,32,Male,No,1,1
3209,Bachelors,2013,Bangalore,3,38,Male,No,1,0
3211,Bachelors,2018,Bangalore,3,36,Male,No,3,1
3212,Bachelors,2012,Bangalore,3,35,Male,No,1,0
3222,Bachelors,2013,Bangalore,3,33,Male,No,3,0
3224,Bachelors,2017,Bangalore,3,41,Male,No,5,0
3228,Bachelors,2015,Bangalore,3,39,Male,Yes,2,0
3230,Bachelors,2015,Bangalore,3,35,Male,No,0,0
3234,Bachelors,2015,Bangalore,1,35,Male,No,5,0
3239,Bachelors,2016,Bangalore,3,36,Male,No,0,0
3241,Bachelors,2015,Bangalore,3,38,Male,Yes,2,0
3242,Bachelors,2014,Bangalore,3,34,Male,No,3,1
3245,Bachelors,2014,Bangalore,3,35,Male,No,1,0
3246,Masters,2018,Bangalore,3,31,Male,No,2,1
3249,Bachelors,2015,Bangalore,1,40,Male,No,2,0
3253,Bachelors,2012,Bangalore,3,40,Male,No,0,0
3266,Bachelors,2017,Bangalore,1,39,Male,No,0,0
3269,Bachelors,2015,Bangalore,3,32,Male,No,0,0
3271,Bachelors,2017,Bangalore,3,41,Male,No,1,0
3274,Bachelors,2013,Bangalore,3,35,Male,No,0,0
3279,Bachelors,2017,Bangalore,3,34,Male,No,3,0
3282,Bachelors,2014,Bangalore,3,39,Male,No,5,0
3289,Bachelors,2012,Bangalore,3,41,Male,No,5,0
3291,Bachelors,2012,Bangalore,3,37,Male,No,4,0
3292,Bachelors,2014,Bangalore,3,39,Male,No,5,1
3293,Bachelors,2018,Bangalore,3,35,Male,No,1,1
3301,Bachelors,2016,Bangalore,3,34,Male,Yes,2,0
3302,Bachelors,2016,Bangalore,1,39,Male,No,2,0
3303,Bachelors,2012,Bangalore,3,38,Male,No,2,0
3306,Bachelors,2013,Bangalore,3,31,Male,No,2,0
3310,Bachelors,2014,Bangalore,3,38,Male,No,0,0
3311,Bachelors,2012,Bangalore,3,31,Male,Yes,5,0
3312,PHD,2014,Bangalore,3,39,Male,No,1,0
3316,Bachelors,2012,Bangalore,3,39,Male,No,0,0
3319,Bachelors,2013,Bangalore,3,35,Male,No,5,0
3321,Bachelors,2014,Bangalore,3,41,Male,No,4,0
3322,Bachelors,2017,Bangalore,3,35,Male,No,5,0
3323,Bachelors,2013,Bangalore,3,40,Male,No,1,0
3328,Bachelors,2016,Bangalore,3,41,Male,No,1,1
3329,Bachelors,2017,Bangalore,3,32,Male,No,5,0
3331,Bachelors,2014,Bangalore,3,31,Male,No,1,0
3332,Bachelors,2012,Bangalore,3,40,Male,No,3,0
3344,Bachelors,2014,Bangalore,3,40,Male,No,0,0
3346,Bachelors,2012,Bangalore,3,37,Male,No,3,1
3350,Bachelors,2012,Bangalore,3,37,Male,No,3,0
3351,Bachelors,2017,Bangalore,3,35,Male,No,3,0
3354,Bachelors,2014,Bangalore,3,31,Male,No,0,1
3355,Bachelors,2016,Bangalore,3,41,Male,No,4,0
3358,Bachelors,2018,Bangalore,1,36,Male,Yes,1,0
3361,Bachelors,2017,Bangalore,3,34,Male,No,3,0
3364,Bachelors,2017,Bangalore,2,37,Male,No,2,1
3366,Bachelors,2016,Bangalore,3,31,Male,No,3,0
3367,Bachelors,2013,Bangalore,1,40,Male,No,2,0
3369,Bachelors,2015,Bangalore,3,31,Male,No,1,0
3371,Bachelors,2017,Bangalore,3,38,Male,Yes,2,0
3374,Bachelors,2013,Bangalore,3,41,Male,Yes,2,1
3377,PHD,2013,Bangalore,3,39,Male,No,2,1
3383,Bachelors,2013,Bangalore,3,31,Male,No,1,0
3384,Bachelors,2017,Bangalore,3,32,Male,No,2,0
3390,Bachelors,2012,Bangalore,3,39,Male,No,3,0
3392,Bachelors,2015,Bangalore,3,36,Male,No,4,0
3393,Bachelors,2014,Bangalore,3,32,Male,No,5,0
3394,Bachelors,2013,Bangalore,3,41,Male,No,2,0
3395,Bachelors,2013,Bangalore,3,32,Male,No,0,0
3396,Bachelors,2017,Bangalore,3,36,Male,No,2,0
3397,Bachelors,2013,Bangalore,3,40,Male,No,4,0
3398,Bachelors,2018,Bangalore,3,32,Male,Yes,1,1
3399,Bachelors,2016,Bangalore,3,38,Male,No,1,0
3400,Bachelors,2018,Bangalore,3,41,Male,No,4,1
3404,Bachelors,2016,Bangalore,3,31,Male,No,2,0
3407,Bachelors,2013,Bangalore,3,31,Male,No,0,0
3410,Bachelors,2017,Bangalore,3,34,Male,No,0,0
3412,Bachelors,2014,Bangalore,3,33,Male,No,1,1
3414,Bachelors,2016,Bangalore,1,34,Male,Yes,2,1
3417,Bachelors,2013,Bangalore,3,35,Male,No,3,1
3422,PHD,2013,Bangalore,2,41,Male,No,2,1
3424,Bachelors,2013,Bangalore,3,39,Male,No,2,0
3425,Bachelors,2012,Bangalore,3,31,Male,Yes,0,1
3427,Bachelors,2016,Bangalore,3,36,Male,No,2,0
3429,Bachelors,2012,Bangalore,3,32,Male,No,5,0
3431,Bachelors,2017,Bangalore,3,39,Male,No,2,0
3435,Bachelors,2017,Bangalore,3,35,Male,No,1,1
3436,Bachelors,2015,Bangalore,3,36,Male,No,1,0
3438,Bachelors,2016,Bangalore,3,40,Male,No,0,1
3439,Bachelors,2012,Bangalore,3,37,Male,No,3,0
3443,Bachelors,2013,Bangalore,3,31,Male,Yes,4,0
3445,Bachelors,2013,Bangalore,3,37,Male,No,2,0
3447,Bachelors,2015,Bangalore,3,36,Male,Yes,4,0
3449,Bachelors,2014,Bangalore,3,34,Male,No,5,0
3450,Bachelors,2013,Bangalore,3,35,Male,No,0,1
3456,Bachelors,2014,Bangalore,3,33,Male,No,5,1
3461,Bachelors,2016,Bangalore,3,37,Male,No,0,0
3463,Bachelors,2015,Bangalore,3,41,Male,No,0,0
3464,Masters,2017,Bangalore,3,40,Male,No,4,1
3468,Bachelors,2016,Bangalore,3,40,Male,No,0,0
3470,Bachelors,2015,Bangalore,3,38,Male,Yes,4,0
3474,Bachelors,2012,Bangalore,3,41,Male,Yes,0,0
3476,Bachelors,2013,Bangalore,3,36,Male,No,5,0
3479,Bachelors,2014,Bangalore,3,39,Male,No,5,0
3485,Bachelors,2017,Bangalore,3,32,Male,No,5,0
3489,Bachelors,2017,Bangalore,3,34,Male,Yes,0,0
3490,Bachelors,2016,Bangalore,3,35,Male,No,4,0
3492,Bachelors,2016,Bangalore,3,32,Male,Yes,5,0
3496,Bachelors,2012,Bangalore,3,41,Male,No,3,0
3500,Bachelors,2017,Bangalore,3,41,Male,No,1,0
3503,Bachelors,2016,Bangalore,3,34,Male,No,4,0
3505,Bachelors,2015,Bangalore,3,39,Male,No,5,1
3512,Bachelors,2016,Bangalore,3,37,Male,No,2,0
3514,Bachelors,2015,Bangalore,3,39,Male,No,5,0
3516,Bachelors,2012,Bangalore,3,36,Male,No,1,1
3517,Bachelors,2012,Bangalore,3,36,Male,No,5,0
3518,Bachelors,2015,Bangalore,3,38,Male,No,3,0
3521,Bachelors,2013,Bangalore,3,31,Male,No,2,1
3522,Bachelors,2013,Bangalore,3,38,Male,No,5,0
3523,Bachelors,2017,Bangalore,3,36,Male,No,3,0
3524,Bachelors,2012,Bangalore,3,40,Male,No,1,0
3525,Bachelors,2017,Bangalore,3,41,Male,No,5,1
3532,Bachelors,2014,Bangalore,3,38,Male,No,3,0
3535,Bachelors,2016,Bangalore,3,41,Male,No,3,0
3540,Bachelors,2012,Bangalore,3,32,Male,No,4,0
3541,Bachelors,2018,Bangalore,3,41,Male,No,5,1
3542,Bachelors,2016,Bangalore,3,36,Male,No,2,0
3543,Bachelors,2016,Bangalore,3,31,Male,No,0,0
3544,Bachelors,2014,Bangalore,3,37,Male,No,4,0
3545,Bachelors,2014,Bangalore,3,33,Male,No,5,1
3557,PHD,2015,Bangalore,3,31,Male,No,3,0
3558,Bachelors,2013,Bangalore,3,37,Male,No,5,0
3559,Bachelors,2014,Bangalore,3,32,Male,No,1,0
3560,Bachelors,2017,Bangalore,3,33,Male,No,3,0
3561,Bachelors,2014,Bangalore,3,37,Male,No,5,0
3562,Bachelors,2012,Bangalore,3,32,Male,No,3,0
3569,Bachelors,2017,Bangalore,3,38,Male,No,0,1
3571,Bachelors,2018,Bangalore,3,38,Male,Yes,3,1
3572,Bachelors,2016,Bangalore,3,32,Male,No,4,0
3574,Bachelors,2013,Bangalore,3,34,Male,No,5,0
3575,Bachelors,2018,Bangalore,3,38,Male,Yes,1,1
3580,Bachelors,2016,Bangalore,3,38,Male,Yes,1,0
3585,Bachelors,2018,Bangalore,3,33,Male,No,5,1
3590,Bachelors,2015,Bangalore,3,31,Male,No,5,0
3591,Bachelors,2012,Bangalore,3,35,Male,No,1,1
3592,Bachelors,2014,Bangalore,3,32,Male,No,3,0
3595,Bachelors,2012,Bangalore,3,34,Male,No,5,0
3597,PHD,2015,Bangalore,3,40,Male,No,3,0
3600,Bachelors,2013,Bangalore,3,33,Male,No,1,0
3601,Bachelors,2015,Bangalore,3,38,Male,No,3,1
3604,Bachelors,2016,Bangalore,3,33,Male,No,1,0
3607,Bachelors,2017,Bangalore,3,31,Male,No,1,0
3609,Bachelors,2013,Bangalore,3,38,Male,No,5,0
3613,Bachelors,2013,Bangalore,3,39,Male,No,0,0
3615,Bachelors,2014,Bangalore,3,34,Male,No,1,0
3617,Bachelors,2014,Bangalore,1,39,Male,No,2,0
3618,Bachelors,2014,Bangalore,3,39,Male,No,5,0
3619,Bachelors,2016,Bangalore,3,33,Male,No,1,0
3623,Bachelors,2014,Bangalore,3,41,Male,No,5,0
3626,Bachelors,2014,Bangalore,3,41,Male,No,5,0
3627,Bachelors,2012,Bangalore,3,40,Male,No,4,0
3628,Bachelors,2014,Bangalore,3,36,Male,No,0,0
3629,Bachelors,2015,Bangalore,3,34,Male,No,0,0
3630,Bachelors,2013,Bangalore,3,32,Male,No,5,1
3631,Bachelors,2015,Bangalore,3,31,Male,No,4,0
3632,Bachelors,2012,Bangalore,3,36,Male,Yes,0,0
3634,Bachelors,2017,Bangalore,3,32,Male,No,2,0
3636,Bachelors,2016,Bangalore,3,34,Male,No,2,0
3637,Bachelors,2017,Bangalore,3,39,Male,No,3,0
3638,Bachelors,2018,Bangalore,3,38,Male,No,0,1
3645,Bachelors,2015,Bangalore,3,38,Male,No,1,1
3646,Masters,2017,Bangalore,2,32,Male,No,2,0
3650,Bachelors,2015,Bangalore,3,40,Male,No,5,0
3651,Bachelors,2016,Bangalore,3,38,Male,No,1,0
3655,Bachelors,2016,Bangalore,3,33,Male,No,3,0
3656,Bachelors,2017,Bangalore,3,37,Male,No,4,0
3657,Bachelors,2013,Bangalore,3,38,Male,No,0,0
3658,Bachelors,2018,Bangalore,3,32,Male,No,2,1
3661,Bachelors,2016,Bangalore,3,38,Male,No,2,1
3662,Bachelors,2013,Bangalore,3,34,Male,No,5,0
3666,Bachelors,2013,Bangalore,3,35,Male,Yes,1,0
3667,Bachelors,2014,Bangalore,3,35,Male,No,0,1
3671,Bachelors,2016,Bangalore,3,34,Male,No,3,0
3673,Masters,2016,Bangalore,3,32,Male,No,1,1
3674,Bachelors,2012,Bangalore,3,36,Male,No,5,0
3680,Bachelors,2016,Bangalore,3,41,Male,No,2,0
3689,Bachelors,2017,Bangalore,3,41,Male,No,3,0
3691,Masters,2017,Bangalore,3,38,Male,No,5,1
3696,Bachelors,2018,Bangalore,3,39,Male,No,1,1
3697,Bachelors,2018,Bangalore,3,32,Male,No,3,1
3698,Bachelors,2015,Bangalore,3,38,Male,No,5,0
3699,Bachelors,2015,Bangalore,3,35,Male,No,3,0
3700,Bachelors,2013,Bangalore,1,38,Male,No,4,0
3705,Masters,2015,Bangalore,3,36,Male,No,0,0
3706,Bachelors,2017,Bangalore,3,35,Male,No,2,0
3708,Masters,2017,Bangalore,1,34,Male,No,1,0
3709,Bachelors,2015,Bangalore,3,36,Male,No,3,0
3714,Bachelors,2017,Bangalore,3,31,Male,No,0,0
3717,Bachelors,2015,Bangalore,3,35,Male,Yes,2,0
3718,Bachelors,2012,Bangalore,3,38,Male,Yes,0,0
3730,Bachelors,2015,Bangalore,3,39,Male,No,2,0
3731,Bachelors,2015,Bangalore,3,39,Male,No,2,1
3736,Masters,2016,Bangalore,1,37,Male,No,2,1
3740,Bachelors,2016,Bangalore,3,39,Male,No,4,0
3741,Bachelors,2012,Bangalore,3,35,Male,No,1,1
3743,Bachelors,2015,Bangalore,3,34,Male,No,0,0
3745,Bachelors,2012,Bangalore,3,33,Male,No,1,0
3749,Bachelors,2012,Bangalore,3,33,Male,No,0,0
3755,Bachelors,2014,Bangalore,3,37,Male,No,1,0
3762,Bachelors,2015,Bangalore,3,33,Male,No,2,0
3763,Bachelors,2016,Bangalore,3,37,Male,No,4,0
3764,Bachelors,2016,Bangalore,3,41,Male,No,4,0
3772,Bachelors,2015,Bangalore,3,41,Male,No,1,0
3775,Masters,2017,Bangalore,2,41,Male,Yes,2,1
3781,Bachelors,2018,Bangalore,3,40,Male,Yes,3,1
3782,Masters,2018,Bangalore,3,40,Male,No,2,1
3783,Bachelors,2014,Bangalore,3,34,Male,No,3,0
3786,Bachelors,2016,Bangalore,3,37,Male,No,2,0
3788,Bachelors,2018,Bangalore,3,38,Male,No,1,1
3789,Bachelors,2016,Bangalore,3,40,Male,Yes,1,0
3791,Bachelors,2016,Bangalore,3,34,Male,Yes,1,0
3793,Bachelors,2015,Bangalore,3,40,Male,No,5,0
3795,Masters,2016,Bangalore,3,37,Male,No,2,1
3799,Bachelors,2016,Bangalore,1,38,Male,No,3,0
3801,Bachelors,2014,Bangalore,3,32,Male,No,2,1
3802,Bachelors,2013,Bangalore,3,37,Male,No,5,0
3804,Bachelors,2014,Bangalore,3,35,Male,No,2,0
3805,Bachelors,2016,Bangalore,3,40,Male,No,0,0
3806,Bachelors,2012,Bangalore,3,40,Male,Yes,2,0
3814,Bachelors,2015,Bangalore,3,40,Male,No,0,0
3816,Bachelors,2013,Bangalore,3,31,Male,No,2,0
3820,Bachelors,2016,Bangalore,3,40,Male,No,3,0
3821,PHD,2013,Bangalore,3,41,Male,No,4,0
3826,Bachelors,2017,Bangalore,3,32,Male,No,4,0
3828,Bachelors,2015,Bangalore,3,38,Male,No,5,0
3830,Bachelors,2014,Bangalore,3,35,Male,Yes,0,0
3832,Bachelors,2016,Bangalore,3,37,Male,Yes,2,0
3833,Bachelors,2015,Bangalore,3,36,Male,No,2,0
3841,Bachelors,2015,Bangalore,1,36,Male,No,1,0
3847,Bachelors,2017,Bangalore,3,35,Male,Yes,0,0
3850,Masters,2015,Bangalore,3,31,Male,No,1,1
3852,Bachelors,2017,Bangalore,3,33,Male,No,0,1
3853,Bachelors,2014,Bangalore,3,34,Male,Yes,1,0
3860,Bachelors,2016,Bangalore,3,36,Male,No,4,0
3864,Bachelors,2012,Bangalore,3,34,Male,No,2,0
3865,Bachelors,2015,Bangalore,3,31,Male,No,2,0
3868,Bachelors,2017,Bangalore,3,31,Male,Yes,2,0
3869,Bachelors,2015,Bangalore,1,32,Male,Yes,0,1
3871,Bachelors,2018,Bangalore,3,37,Male,No,5,1
3873,Bachelors,2015,Bangalore,1,41,Male,No,1,0
3875,Bachelors,2014,Bangalore,3,36,Male,Yes,3,0
3878,Bachelors,2017,Bangalore,3,33,Male,No,1,0
3880,Bachelors,2018,Bangalore,3,38,Male,No,1,1
3885,Bachelors,2013,Bangalore,3,39,Male,No,2,0
3887,Bachelors,2013,Bangalore,3,38,Male,No,2,0
3888,Bachelors,2017,Bangalore,3,35,Male,No,0,0
3890,Bachelors,2017,Bangalore,3,41,Male,No,5,0
3892,Bachelors,2016,Bangalore,3,40,Male,Yes,1,0
3896,Bachelors,2014,Bangalore,3,35,Male,Yes,1,0
3897,Bachelors,2017,Bangalore,3,38,Male,No,5,0
3899,Bachelors,2012,Bangalore,1,34,Male,No,0,0
3901,Bachelors,2014,Bangalore,3,37,Male,No,5,0
3903,Bachelors,2013,Bangalore,3,31,Male,No,2,1
3905,Bachelors,2015,Bangalore,3,39,Male,No,1,0
3907,Bachelors,2012,Bangalore,3,34,Male,No,1,0
3911,Bachelors,2012,Bangalore,3,36,Male,No,1,0
3915,Bachelors,2018,Bangalore,3,32,Male,No,4,1
3917,Bachelors,2017,Bangalore,3,35,Male,No,1,0
3918,Bachelors,2013,Bangalore,3,32,Male,No,1,0
3919,Bachelors,2015,Bangalore,3,31,Male,No,1,1
3920,Bachelors,2015,Bangalore,3,41,Male,No,4,0
3921,Bachelors,2012,Bangalore,3,33,Male,Yes,0,0
3925,Masters,2017,Bangalore,2,31,Male,No,5,0
3929,Bachelors,2015,Bangalore,3,38,Male,No,1,0
3931,Bachelors,2014,Bangalore,3,34,Male,No,4,0
3932,Bachelors,2017,Bangalore,3,40,Male,No,2,0
3933,Bachelors,2012,Bangalore,3,36,Male,No,1,0
3936,Bachelors,2017,Bangalore,3,37,Male,No,3,0
3941,Bachelors,2015,Bangalore,3,34,Male,No,2,1
3943,Bachelors,2014,Bangalore,3,34,Male,No,0,1
3952,Bachelors,2012,Bangalore,3,40,Male,No,4,0
3953,Bachelors,2013,Bangalore,1,34,Male,No,4,1
3955,PHD,2013,Bangalore,3,32,Male,No,5,0
3956,Bachelors,2012,Bangalore,3,33,Male,No,1,0
3959,Bachelors,2016,Bangalore,3,34,Male,No,4,0
3960,Bachelors,2016,Bangalore,3,39,Male,No,7,0
3961,Bachelors,2014,Bangalore,3,35,Male,No,5,0
3963,Bachelors,2016,Bangalore,3,33,Male,No,6,0
3965,Bachelors,2012,Bangalore,3,35,Male,No,5,0
3968,Bachelors,2017,Bangalore,3,39,Male,No,5,0
3975,Bachelors,2014,Bangalore,3,39,Male,No,7,1
3978,Bachelors,2012,Bangalore,3,38,Male,No,7,1
3980,Bachelors,2018,Bangalore,3,38,Male,No,6,1
3981,Bachelors,2013,Bangalore,3,34,Male,No,6,0
3982,Bachelors,2012,Bangalore,1,35,Male,No,7,0
3986,Bachelors,2014,Bangalore,3,35,Male,Yes,5,0
3987,Bachelors,2013,Bangalore,1,38,Male,No,6,0
3990,Bachelors,2018,Bangalore,3,34,Male,No,5,1
4001,Bachelors,2012,Bangalore,3,31,Male,No,0,0
4003,Bachelors,2016,Bangalore,3,31,Male,Yes,5,0
4004,Bachelors,2015,Bangalore,3,34,Male,No,4,0
4007,Bachelors,2015,Bangalore,3,31,Male,No,1,0
4008,Bachelors,2017,Bangalore,3,35,Male,No,5,0
4019,Bachelors,2018,Bangalore,3,37,Male,No,2,1
4020,Bachelors,2012,Bangalore,3,38,Male,No,3,0
4027,Bachelors,2017,Bangalore,3,34,Male,No,5,0
4031,Masters,2017,Bangalore,3,38,Male,No,2,0
4041,Bachelors,2013,Bangalore,3,36,Male,No,5,1
4056,Bachelors,2014,Bangalore,3,33,Male,No,5,0
4066,Bachelors,2012,Bangalore,3,37,Male,No,4,1
4067,Bachelors,2017,Bangalore,1,34,Male,Yes,0,0
4072,Bachelors,2015,Bangalore,3,32,Male,No,1,0
4075,Bachelors,2015,Bangalore,3,32,Male,No,1,0
4089,Bachelors,2013,Bangalore,3,39,Male,No,3,0
4096,Bachelors,2018,Bangalore,3,40,Male,No,4,1
4100,Bachelors,2012,Bangalore,3,37,Male,No,5,0
4102,Bachelors,2018,Bangalore,3,32,Male,Yes,0,1
4106,PHD,2013,Bangalore,3,35,Male,No,3,1
4108,Bachelors,2012,Bangalore,3,39,Male,No,3,0
4110,Bachelors,2017,Bangalore,3,37,Male,No,2,0
4128,Bachelors,2012,Bangalore,3,37,Male,No,4,0
4137,Bachelors,2012,Bangalore,3,38,Male,No,2,1
4139,Bachelors,2017,Bangalore,3,37,Male,No,3,1
4153,Bachelors,2017,Bangalore,3,33,Male,No,4,0
4165,Bachelors,2013,Bangalore,3,37,Male,No,5,0
4170,Bachelors,2014,Bangalore,3,34,Male,No,4,0
4174,Bachelors,2018,Bangalore,3,35,Male,Yes,5,1
4178,Bachelors,2017,Bangalore,3,40,Male,No,0,0
4183,Bachelors,2016,Bangalore,3,38,Male,No,4,0
4194,Bachelors,2018,Bangalore,3,33,Male,No,4,1
4196,Bachelors,2016,Bangalore,3,32,Male,No,4,0
4199,Bachelors,2012,Bangalore,1,35,Male,No,4,0
4205,Bachelors,2016,Bangalore,3,40,Male,No,0,1
4207,Bachelors,2012,Bangalore,3,32,Male,No,4,0
4227,Bachelors,2012,Bangalore,3,40,Male,No,3,0
4229,Bachelors,2014,Bangalore,3,31,Male,No,0,0
4236,Bachelors,2013,Bangalore,3,36,Male,No,4,0
4250,Bachelors,2015,Bangalore,3,38,Male,No,1,0
4256,Bachelors,2013,Bangalore,3,33,Male,No,2,0
4258,Bachelors,2014,Bangalore,3,37,Male,No,5,0
4266,PHD,2013,Bangalore,3,40,Male,No,1,0
4277,Bachelors,2013,Bangalore,3,38,Male,No,0,0
4285,Bachelors,2018,Bangalore,3,38,Male,No,2,1
4293,Masters,2013,Bangalore,3,31,Male,No,2,0
4296,Bachelors,2016,Bangalore,3,31,Male,No,0,0
4301,Bachelors,2017,Bangalore,3,40,Male,No,0,0
4303,Bachelors,2015,Bangalore,3,36,Male,No,1,0
4304,Bachelors,2014,Bangalore,3,31,Male,No,5,0
4310,Bachelors,2016,Bangalore,3,34,Male,No,1,0
4311,Bachelors,2012,Bangalore,3,39,Male,No,3,0
4315,Bachelors,2018,Bangalore,3,36,Male,No,3,1
4326,Bachelors,2014,Bangalore,3,38,Male,No,3,0
4328,PHD,2012,Bangalore,1,38,Male,No,5,0
4335,Bachelors,2018,Bangalore,3,34,Male,Yes,5,1
4342,Bachelors,2012,Bangalore,3,31,Male,No,0,0
4344,Bachelors,2012,Bangalore,3,31,Male,No,3,0
4361,Bachelors,2014,Bangalore,3,38,Male,Yes,5,0
4366,Bachelors,2017,Bangalore,3,40,Male,No,1,0
4368,Bachelors,2016,Bangalore,3,32,Male,No,0,0
4370,Bachelors,2015,Bangalore,3,33,Male,No,3,1
4386,Masters,2017,Bangalore,3,36,Male,No,4,1
4387,Bachelors,2014,Bangalore,3,37,Male,No,4,0
4391,Bachelors,2017,Bangalore,3,38,Male,No,3,0
4392,Bachelors,2014,Bangalore,3,31,Male,No,3,1
4398,Bachelors,2015,Bangalore,3,33,Male,No,4,0
